Hour,Minute,Price_now,Percentage,Volume
9,34,7133.25,0.0054,33850828
9,35,7131.25,0.0025,34094705
9,36,7139.75,0.0041,35199019
9,37,7141.25,0.005,35865732
9,38,7141.25,0.006,36472112
9,39,7141.25,0.0072,36635818
9,40,7141.25,0.0073,36895286
9,41,7142.25,0.0075,37443495
9,42,7148.75,0.0077,38481808
9,43,7149.75,0.0079,38668678
9,44,7152.25,0.0074,38990544
9,45,7154.75,0.0077,39630038
9,46,7154.75,0.0072,39916878
9,47,7154.25,0.005,40173397
9,48,7154.75,0.0057,40272123
9,49,7155.75,0.0046,40525602
9,50,7156.25,0.0034,40595050
9,51,7156.75,0.0027,40771872
9,52,7156.75,0.0018,40883182
9,53,7154.25,0.002,41255754
9,54,7154.75,0,41770815
9,55,7161.75,0.0017,42396458
9,56,7157.25,-0.0001,43144353
9,57,7157.25,-0.0005,43171315
9,58,7164.25,0.0016,43682244
9,59,7164.25,0.0037,43934206
10,0,7169.75,0.0039,819289
10,1,7179.75,0.0064,3965785
10,2,7184.75,0.0061,6971612
10,3,7185.25,0.0056,7998216
10,4,7176.25,0.004,8979813
10,5,7178.75,0.0041,9869143
10,6,7177.25,0.0032,11709312
10,7,7177.75,0.0064,12252820
10,8,7176.25,0.0063,12639364
10,10,7169.75,0.0064,14417716
10,11,7169.75,0.0055,14471962
10,12,7170.25,0.0046,15504631
10,13,7167.75,0.0019,16355854
10,14,7170.25,0.0029,16810852
10,15,7165.25,0.0017,17861450
10,16,7165.25,0.001,18632888
10,17,7165.25,0.0032,18869327
10,18,7162.25,0.0031,19567309
10,19,7160.25,0.0037,19805814
10,20,7155.25,0.0029,20778691
10,21,7155.25,0.0029,21311834
10,22,7157.75,0.0033,21666742
10,23,7155.75,0.0045,22008525
10,24,7156.75,0.0034,22104905
10,25,7156.75,0.004,22247227
10,26,7160.25,0.0045,22780363
10,27,7164.25,0.0046,23562132
10,28,7164.25,0.0031,24134165
10,29,7164.25,0.004,24211435
10,30,7164.25,0.0034,24368338
10,31,7164.25,0.002,24597509
10,32,7164.25,0.001,24727761
10,33,7161.75,0.0003,24954707
10,34,7161.75,0.0011,25053452
10,35,7155.75,-0.001,25509137
10,36,7150.75,-0.0026,26450970
10,37,7146.75,-0.0035,26966298
10,38,7138.75,-0.0056,28707162
10,39,7139.75,-0.0059,28968526
10,40,7146.75,-0.0033,29363615
10,41,7138.75,-0.0036,30635790
10,42,7140.75,-0.0035,31677204
10,43,7140.75,-0.0028,31809623
10,44,7144.75,-0.0017,32229854
10,45,7150.75,-0.0013,33322536
10,46,7150.75,-0.0016,33786685
10,47,7150.75,-0.0002,33819591
10,48,7149.25,-0.0021,34476578
10,49,7147.75,-0.0024,34704765
10,50,7145.75,-0.0038,35168318
10,51,7139.75,-0.0043,36827065
10,52,7138.25,-0.0052,37120562
10,53,7137.75,-0.0069,38499257
10,54,7141.25,-0.0056,39378821
10,55,7141.75,-0.0059,40008567
10,56,7141.75,-0.005,40076488
10,57,7142.75,-0.0045,40429052
10,58,7142.75,-0.0038,40565587
